pmid,in_degree,out_degree,title,has_abstract
21546262,0.0,52.0,Molecular mechanisms underlying the role of microRNAs (miRNAs) in anticancer drug resistance and implications for clinical practice.,True
21548778,0.0,62.0,The role of microRNAs in cholesterol efflux and hepatic lipid metabolism.,True
21550428,1.0,62.0,Viral induction and suppression of RNA silencing in plants.,True
19458619,49.0,20.0,The RNA-binding protein KSRP promotes the biogenesis of a subset of microRNAs.,True
9875855,41.0,1.0,Use of dsRNA-mediated genetic interference to demonstrate that frizzled and frizzled 2 act in the wingless pathway.,True
18695042,18.0,22.0,A cyclin D1/microRNA 17/20 regulatory feedback loop in control of breast cancer cell proliferation.,True
9876176,47.0,1.0,The PINHEAD/ZWILLE gene acts pleiotropically in Arabidopsis development and has overlapping functions with the ARGONAUTE1 gene.,True
19464788,4.0,70.0,MicroRNAs: novel regulators in the hallmarks of human cancer.,True
19465925,22.0,25.0,Transfection of small RNAs globally perturbs gene regulation by endogenous microRNAs.,True
23344055,2.0,79.0,Role of RNA interference (RNAi) in the Moss Physcomitrella patens.,True
23362311,1.0,90.0,Context-specific microRNA function in developmental complexity.,True
22072587,4.0,49.0,Posttranscriptional upregulation by microRNAs.,True
22086843,2.0,61.0,Diversity of animal small RNA pathways and their biological utility.,True
22094948,9.0,92.0,Evolution of microRNA diversity and regulation in animals.,True
22422859,35.0,21.0,Ribosome profiling shows that miR-430 reduces translation before causing mRNA decay in zebrafish.,True
22424228,17.0,50.0,MicroRNAs in stress signaling and human disease.,True
22949860,0.0,56.0,Biogenesis and mechanism of action of small non-coding RNAs: insights from the point of view of structural biology.,True
22956261,0.0,63.0,Aberrant microRNA expression and its implications in the pathogenesis of leukemias.,True
22964086,0.0,76.0,SNPing cancer in the bud: microRNA and microRNA-target site polymorphisms as diagnostic and prognostic biomarkers in cancer.,True
24185199,1.0,61.0,Gene silencing in plants: a diversity of pathways.,True
23696365,0.0,55.0,Regulation of stem cell populations by microRNAs.,True
23706297,1.0,65.0,Plant microRNAs and development.,True
23716978,0.0,57.0,"Role of microRNAs in the immune system, inflammation and cancer.",True
24366030,0.0,56.0,Stable RNA interference rules for silencing.,True
24641625,0.0,51.0,Advances in identification and validation of plant microRNAs and their target genes.,True
30333195,2.0,50.0,Post-transcriptional control of miRNA biogenesis.,True
30333855,1.0,79.0,Target RNAs Strike Back on MicroRNAs.,True
28905147,1.0,71.0,Evaluation and control of miRNA-like off-target repression for RNA interference.,True
26399619,0.0,67.0,Biogenesis and regulation of the let-7 miRNAs and their functional implications.,True
28882219,0.0,55.0,MicroRNAs and Cancer: A Long Story for Short RNAs.,True
30936388,0.0,59.0,RNA Interference and Small RNA Analysis.,True
29042235,1.0,49.0,Splicing factors as regulators of miRNA biogenesis - links to human disease.,True
29048752,2.0,62.0,The 'how' and 'where' of plant microRNAs.,True
19121586,3.0,87.0,miRNA regulation of cytokine genes.,True
19131968,35.0,44.0,Repression of C. elegans microRNA targets at the initiation level of translation requires GW182 proteins.,True
19132354,7.0,44.0,MicroRNA detection by microarray.,True
19135886,21.0,65.0,MicroRNA control in the immune system: basic principles.,True
19135890,35.0,30.0,Posttranscriptional crossregulation between Drosha and DGCR8.,True
19145236,37.0,60.0,Revisiting the principles of microRNA target recognition and mode of action.,True
19148134,2.0,50.0,The role of microRNA in human leukemia: a review.,True
19148191,61.0,165.0,Small silencing RNAs: an expanding universe.,True
18752632,3.0,59.0,"Regulation of microRNA processing in development, differentiation and cancer.",True
18754009,55.0,27.0,Structure of the guide-strand-containing argonaute silencing complex.,True
18754771,2.0,91.0,MicroRNAs--micro in size but macro in function.,True
18755897,19.0,26.0,miR-34a repression of SIRT1 regulates apoptosis.,True
18756081,0.0,58.0,miRNAs in the Plant Genome: All Things Great and Small.,True
20331529,0.0,56.0,Tapping RNA silencing pathways for plant biotechnology.,True
18766170,35.0,7.0,Characterization of microRNAs in serum: a novel class of biomarkers for diagnosis of cancer and other diseases.,True
18768788,32.0,18.0,A microRNA DNA methylation signature for human cancer metastasis.,True
18769156,4.0,68.0,"The long and short of inverted repeat genes in animals: microRNAs, mirtrons and hairpin RNAs.",True
20346098,7.0,47.0,MicroRNAs and their target gene networks in breast cancer.,True
10335848,60.0,6.0,Gene silencing in Neurospora crassa requires a protein homologous to RNA-dependent RNA polymerase.,True
12893888,167.0,11.0,A microRNA as a translational repressor of APETALA2 in Arabidopsis flower development.,True
12902540,108.0,31.0,MicroRNAs and small interfering RNAs can inhibit mRNA expression by similar mechanisms.,True
11106747,41.0,12.0,Functional anatomy of a dsRNA trigger: differential requirement for the two trigger strands in RNA interference.,True
18423194,40.0,14.0,miRiad roles for the miR-17-92 cluster in development and disease.,True
18427554,3.0,95.0,Everything you wanted to know about small RNA but were afraid to ask.,True
18430891,8.0,46.0,A multifunctional human Argonaute2-specific monoclonal antibody.,True
9486653,259.0,1.0,Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans.,True
18437900,0.0,102.0,RNA interference and cancer: endogenous pathways and therapeutic approaches.,True
18439437,1.0,51.0,Technical variables in high-throughput miRNA expression profiling: much work remains to be done.,True
21594785,0.0,73.0,Impact of microRNA in normal and pathological respiratory epithelia.,True
21605713,5.0,57.0,Role of miRNAs and siRNAs in biotic and abiotic stress responses of plants.,True
21607569,5.0,96.0,The role of the precursor structure in the biogenesis of microRNA.,True
12045284,13.0,34.0,RNA silencing and the mobile silencing signal.,False
12065420,25.0,22.0,"A viral protein suppresses RNA silencing and binds silencing-generated, 21- to 25-nucleotide double-stranded RNAs.",True
24668229,1.0,54.0,Traffic into silence: endomembranes and post-transcriptional RNA silencing.,True
20637886,2.0,66.0,The microRNAs of Caenorhabditis elegans.,True
20660014,10.0,44.0,The terminal loop region controls microRNA processing by Drosha and Dicer.,True
20661255,58.0,87.0,"The widespread regulation of microRNA biogenesis, function and decay.",True
21402473,2.0,55.0,The oncogenic and tumour suppressive roles of microRNAs in cancer and apoptosis.,True
21420027,0.0,63.0,"MicroRNA, a new paradigm for understanding immunoregulation, inflammation, and autoimmune diseases.",True
23500144,1.0,59.0,microRNAs and the regulation of neuronal plasticity under stress conditions.,True
23500488,3.0,72.0,The role of miRNAs in regulating gene expression networks.,True
21423181,15.0,30.0,Silencing of microRNA families by seed-targeting tiny LNAs.,True
23516374,2.0,60.0,Functional genomic analysis of the let-7 regulatory network in Caenorhabditis elegans.,True
33785398,0.0,73.0,Micro-RNA: The darkhorse of cancer.,True
33584737,0.0,55.0,siRNA Specificity: RNAi Mechanisms and Strategies to Reduce Off-Target Effects.,True
22106413,6.0,47.0,Dicer is dispensable for asymmetric RISC loading in mammals.,True
22113163,12.0,50.0,Epigenetics and genetics. MicroRNAs en route to the clinic: progress in validating and targeting microRNAs for cancer therapy.,True
18358247,6.0,82.0,Diverse small RNA-directed silencing pathways in plants.,True
18362358,41.0,24.0,MiR-15a and miR-16-1 cluster functions in human leukemia.,True
18362881,33.0,14.0,MicroRNAs accurately identify cancer tissue origin.,True
18366743,6.0,52.0,The evolution of core proteins involved in microRNA biogenesis.,True
18367714,35.0,15.0,miR-148 targets human DNMT3b protein coding region.,True
18368051,70.0,19.0,LNA-mediated microRNA silencing in non-human primates.,True
18369380,6.0,74.0,Modulation of miRNA activity in human cancer: a new paradigm for cancer gene therapy?,True
18372920,18.0,15.0,MicroRNA-21 promotes cell transformation by targeting the programmed cell death 4 gene.,True
18376396,43.0,11.0,The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.,True
18376413,49.0,38.0,The regulatory activity of microRNA* species has substantial influence on microRNA and 3' UTR evolution.,True
20205586,3.0,112.0,Biochemical principles of small RNA pathways.,True
20213828,0.0,58.0,Potential role of micro-RNAs in head and neck tumorigenesis.,True
20216554,6.0,49.0,MicroRNA control of signal transduction.,True
20218735,3.0,42.0,Non-coding RNAs: identification of cancer-associated microRNAs by gene profiling.,True
20219708,3.0,56.0,MicroRNAs--targeting and target prediction.,True
26529003,0.0,52.0,MicroRNAs in Breastmilk and the Lactating Breast: Potential Immunoprotectors and Developmental Regulators for the Infant and the Mother.,True
28757069,5.0,109.0,Structural Foundations of RNA Silencing by Argonaute.,True
30302122,0.0,73.0,"MicroRNAs from plants to animals, do they define a new messenger for communication?",True
29447113,1.0,109.0,The AGO proteins: an overview.,True
17437991,91.0,11.0,The tumor suppressor microRNA let-7 represses the HMGA2 oncogene.,True
17438277,37.0,17.0,"miR-150, a microRNA expressed in mature B and T cells, blocks early B cell development when expressed prematurely.",True
17439965,36.0,11.0,"Specificity, duplex degradation and subcellular localization of antagomirs.",True
17442570,29.0,21.0,Identification of nuclear dicing bodies containing proteins for microRNA biogenesis in living Arabidopsis plants.,True
17447837,7.0,45.0,Regulatory circuit of human microRNA biogenesis.,True
25436558,0.0,84.0,From transcription to translation: new insights in the structure and function of Argonaute protein.,True
25436586,0.0,56.0,MicroRNA biogenesis and variability.,True
19710908,12.0,54.0,microRNA-mediated messenger RNA deadenylation contributes to translational repression in mammalian cells.,True
19713957,23.0,30.0,LIN-28 and the poly(U) polymerase PUP-2 regulate let-7 microRNA processing in Caenorhabditis elegans.,True
19713958,36.0,10.0,Lin28 recruits the TUTase Zcchc11 to inhibit let-7 maturation in mouse embryonic stem cells.,True
19716330,29.0,37.0,Mammalian miRNA RISC recruits CAF1 and PABP to affect PABP-dependent deadenylation.,True
19732433,16.0,41.0,Sequence features associated with microRNA strand selection in humans and flies.,True
19734881,24.0,23.0,Active turnover modulates mature microRNA activity in Caenorhabditis elegans.,True
27184117,2.0,58.0,Anatomy of RISC: how do small RNAs and chaperones activate Argonaute proteins?,True
20306121,0.0,51.0,Regulation of microRNAs by natural agents: an emerging field in chemoprevention and chemotherapy research.,True
11201747,403.0,8.0,Role for a bidentate ribonuclease in the initiation step of RNA interference.,True
12242443,229.0,20.0,Cleavage of Scarecrow-like mRNA targets directed by a class of Arabidopsis miRNA.,True
12297043,50.0,8.0,Analysis of a piwi-related gene implicates small RNAs in genome rearrangement in tetrahymena.,True
16009126,54.0,9.0,"miRNAs, cancer, and stem cell division.",True
16009129,52.0,19.0,RNAi: the nuts and bolts of the RISC machine.,True
14508492,59.0,18.0,A micrococcal nuclease homologue in RNAi effector complexes.,True
14508493,445.0,25.0,The nuclear RNase III Drosha initiates microRNA processing.,True
16009718,62.0,18.0,Aberrant T cell differentiation in the absence of Dicer.,True
14512631,129.0,7.0,"R2D2, a bridge between the initiation and effector steps of the Drosophila RNAi pathway.",True
16033795,18.0,24.0,Regulation of Arabidopsis shoot apical meristem and lateral organ formation by microRNA miR166g and its AtHD-ZIP target genes.,True
11395776,47.0,1.0,Role of PHABULOSA and PHAVOLUTA in determining radial patterning in shoots.,True
25473652,0.0,59.0,MicroRNAs in Cancer Biology and Therapy: Current Status and Perspectives.,True
25475103,0.0,64.0,MicroRNAs: new players in IBD.,True
25482951,0.0,54.0,miRNA biogenesis: biological impact in the development of cancer.,True
25484347,4.0,61.0,The biological functions of miRNAs: lessons from in vivo studies.,True
15337093,19.0,67.0,MicroRNA regulation of gene expression in plants.,True
15337119,24.0,28.0,Common logic of transcription factor and microRNA action.,True
15337849,70.0,31.0,Tethering of human Ago proteins to mRNA mimics the miRNA-mediated repression of protein synthesis.,True
15337850,37.0,36.0,Trans-splicing and polyadenylation of let-7 microRNA primary transcripts.,True
15345038,34.0,34.0,Predicting and validating microRNA targets.,True
15345049,55.0,39.0,Prediction and identification of Arabidopsis thaliana microRNAs and their mRNA targets.,True
15345052,90.0,43.0,Microarray analysis of microRNA expression in the developing mammalian brain.,True
15356295,69.0,13.0,Structural requirements for pre-microRNA binding and nuclear export by Exportin 5.,True
15361871,69.0,18.0,MicroRNA-responsive 'sensor' transgenes uncover Hox-like and other developmentally regulated patterns of vertebrate microRNA expression.,True
15364901,173.0,16.0,Identification of mammalian microRNA host genes and transcription units.,True
20735434,3.0,46.0,let-7 and miR-17-92: small-sized major players in lung cancer development.,True
17502067,0.0,47.0,[MicroRNAs and intestinal pathophysiology].,True
17504023,1.0,75.0,MicroRNAs as cancer players: potential clinical and biological effects.,True
17504024,2.0,42.0,Unique MicroRNA signature and clinical outcome of cancers.,True
17504025,13.0,51.0,miRNA profiling for diagnosis and prognosis of human cancer.,True
17504027,8.0,45.0,MicroRNA-143 and -145 in colon cancer.,True
17504028,3.0,89.0,MicroRNA detection and target prediction: integration of computational and experimental approaches.,True
17506656,20.0,122.0,microRNAs in vertebrate physiology and human disease.,True
17506695,75.0,167.0,microRNA functions.,True
17507927,67.0,24.0,Drosophila miR2 induces pseudo-polysomes and inhibits translation initiation.,True
17507929,68.0,20.0,MicroRNA silencing through RISC recruitment of eIF6.,True
17515481,2.0,65.0,MicroRNAs in human cancer: from research to therapy.,True
17521938,6.0,45.0,"Energizing miRNA research: a review of the role of miRNAs in lipid metabolism, with a prediction that miR-103/107 regulates human metabolic pathways.",True
17524464,76.0,55.0,An mRNA m7G cap binding-like motif within human Ago2 represses translation.,True
19026782,44.0,37.0,A human snoRNA with microRNA-like functions.,True
19029310,33.0,43.0,Deadenylation is a widespread effect of miRNA regulation.,True
19030926,2.0,85.0,MicroRNAs: control and loss of control in human physiology and disease.,True
19049808,0.0,48.0,MicroRNAs: key modulators of posttranscriptional gene expression.,False
18978028,40.0,93.0,Molecular characterization of human Argonaute-containing ribonucleoprotein complexes and their bound target mRNAs.,True
11373684,122.0,7.0,Duplexes of 21-nucleotide RNAs mediate RNA interference in cultured mammalian cells.,True
16503100,49.0,24.0,LNA-modified oligonucleotides mediate specific inhibition of microRNA function.,True
16503132,18.0,40.0,Gene regulation by microRNAs.,True
16505370,86.0,21.0,The colorectal microRNAome.,True
16510870,99.0,35.0,Control of translation and mRNA degradation by miRNAs and siRNAs.,True
16518686,16.0,62.0,Mammalian microRNAs: a small world for fine-tuning gene expression.,True
16530032,28.0,21.0,Micro RNAs in animal development.,True
16530703,165.0,27.0,Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.,True
11452083,407.0,4.0,A cellular function for the RNA-interference enzyme Dicer in the maturation of the let-7 small temporal RNA.,True
11459066,42.0,24.0,Gene silencing as an adaptive defence against viruses.,True
11461699,346.0,24.0,Genes and mechanisms related to RNA interference regulate expression of the small temporal RNAs that control C. elegans developmental timing.,True
11470406,67.0,16.0,Double-stranded RNA-mediated silencing of genomic tandem repeats and transposable elements in the D. melanogaster germline.,True
27795564,1.0,60.0,A network-biology perspective of microRNA function and dysfunction in cancer.,True
24373327,1.0,43.0,"MicroRNAs and the cancer phenotype: profiling, signatures and clinical implications.",True
24375960,0.0,61.0,miRNA sponges: soaking up miRNAs for regulation of gene expression.,True
16373484,35.0,42.0,TarBase: A comprehensive database of experimentally supported animal microRNA targets.,True
16373485,40.0,29.0,RAKE and LNA-ISH reveal microRNA expression and localization in archival human brain.,True
16377567,38.0,18.0,A microRNA mediates EGF receptor signaling and promotes photoreceptor differentiation in the Drosophila eye.,True
16377568,80.0,36.0,Endogenous siRNAs derived from a pair of natural cis-antisense transcripts regulate salt tolerance in Arabidopsis.,True
16380711,87.0,19.0,The role of microRNA-1 and microRNA-133 in skeletal muscle proliferation and differentiation.,True
16381832,152.0,24.0,"miRBase: microRNA sequences, targets and gene nomenclature.",True
16382868,2.0,92.0,Identification and analysis of microRNAs.,False
16387831,17.0,19.0,Regulation of phosphate homeostasis by MicroRNA in Arabidopsis.,True
16393143,3.0,84.0,MicroRNA: biological and computational perspective.,True
19665162,9.0,39.0,Deep-sequencing of plant viral small RNAs reveals effective and widespread targeting of viral genomes.,True
15652477,469.0,18.0,"Conserved seed pairing, often flanked by adenosines, indicates that thousands of human genes are microRNA targets.",True
15652478,165.0,11.0,Phylogenetic shadowing and computational identification of human microRNA genes.,True
15653398,30.0,50.0,The developmental role of microRNA in plants.,True
15654322,29.0,73.0,Assembly and function of RNA silencing complexes.,True
15660519,7.0,48.0,"The silent revolution: RNA interference as basic biology, research tool, and therapeutic.",True
12360232,16.0,45.0,Gene silencing in mammals by small interfering RNAs.,True
12368260,98.0,26.0,Fragile X-related protein and VIG associate with the RNA interference machinery.,True
